quarter,leader,follower,leader_pc,follower_pc,gap_days,same_sector,same_industry,leader_direction
2021Q1,AAPL,ABBV,0.87,-1.11,3,False,False,up
2021Q1,AAPL,ADBE,0.87,-2.3,18,True,False,up
2021Q1,AAPL,AMD,0.87,1.84,5,True,False,up
2021Q1,AAPL,AMZN,0.87,-2.81,16,False,False,up
2021Q1,AAPL,AVGO,0.87,-1.91,10,True,False,up
2021Q1,AAPL,AXP,0.87,0.45,11,False,False,up
2021Q1,AAPL,BA,0.87,-3.17,18,False,False,up
2021Q1,AAPL,BLK,0.87,0.75,13,False,False,up
2021Q1,AAPL,C,0.87,-0.99,1,False,False,up
2021Q1,AAPL,CAT,0.87,1.68,12,False,False,up
2021Q1,COST,AAPL,5.41,0.87,5,False,False,up
2021Q1,CRM,AAPL,-0.69,0.87,2,True,False,down
2021Q1,AAPL,DAL,0.87,-3.22,4,False,False,up
2021Q1,AAPL,GOOGL,0.87,-1.45,12,True,False,up
2021Q1,AAPL,GS,0.87,0.49,9,False,False,up
2021Q1,AAPL,HD,0.87,-1.68,18,False,False,up
2021Q1,AAPL,INTC,0.87,-1.53,3,True,False,up
2021Q1,AAPL,ISRG,0.87,1.12,3,False,False,up
2021Q1,AAPL,JNJ,0.87,2.9,2,False,False,up
2021Q1,AAPL,JPM,0.87,0.66,12,False,False,up
2021Q1,AAPL,LLY,0.87,-0.1,10,False,False,up
2021Q1,MA,AAPL,-2.06,0.87,1,False,False,down
2021Q1,AAPL,META,0.87,-0.53,7,True,False,up
2021Q1,AAPL,MRK,0.87,-3.91,1,False,False,up
2021Q1,MS,AAPL,2.53,0.87,3,False,False,up
2021Q1,AAPL,MSFT,0.87,-0.25,11,True,False,up
2021Q1,NOW,AAPL,0.86,0.87,2,True,False,up
2021Q1,AAPL,NVDA,0.87,-2.01,7,True,False,up
2021Q1,AAPL,PANW,0.87,0.37,1,True,False,up
2021Q1,AAPL,PEP,0.87,-2.17,5,False,False,up
2021Q1,AAPL,PG,0.87,3.19,3,False,False,up
2021Q1,RTX,AAPL,-4.29,0.87,4,False,False,down
2021Q1,AAPL,TMO,0.87,-1.87,3,False,False,up
2021Q1,AAPL,TSLA,0.87,-0.11,14,False,False,up
2021Q1,AAPL,UAL,0.87,-2.17,7,False,False,up
