leader,follower,n_quarters,r,p,same_sector,mean_gap
GOOGL,NVDA,7,0.9595079266203057,0.0006200010361266537,True,12.0
NOW,HD,7,0.9137738827638798,0.004001187969890173,False,8.714285714285714
MSFT,META,8,0.8740402344946567,0.004536055556435208,True,11.625
RTX,PEP,10,0.833977104928483,0.0027064233464332184,False,7.3
CRM,MSFT,13,0.8290245868315878,0.000459151374461446,True,8.0
GOOGL,WFC,8,0.8105740373887257,0.014669885571866572,False,5.125
LLY,DAL,9,0.8079150039785388,0.008428440870808133,False,9.222222222222221
ISRG,NOW,8,0.7959958320235665,0.018110402293446633,False,8.875
AXP,JPM,7,0.7880028687283319,0.03532528969454338,True,7.142857142857143
GOOGL,ABBV,6,0.7860666329475414,0.06375563216622544,False,9.0
CAT,HD,5,0.7789075345837535,0.12057022052487043,False,6.2
AAPL,GS,10,0.7764899369194823,0.00825410935828778,False,7.4
UBER,GS,11,0.7751321214492402,0.005070794981741096,False,8.181818181818182
TSLA,C,7,0.7563406214437665,0.04911721882903865,False,10.285714285714286
GOOGL,GS,9,0.7507015998910874,0.01976171717458599,False,5.333333333333333
RTX,ABBV,6,0.7323122572082484,0.09789427762239082,False,5.333333333333333
RTX,AVGO,7,0.7267651801828935,0.0642795513748153,False,9.428571428571429
NOW,MS,7,0.7236708256170973,0.0659941696035893,False,8.428571428571429
RTX,NVDA,9,0.7200896272645938,0.028681980190193346,False,7.111111111111111
META,AVGO,6,0.7182748732615689,0.10787344313604506,True,7.666666666666667
NOW,JPM,5,0.7130335787100842,0.17637660955222012,False,11.6
GOOGL,DAL,8,0.7126318901277431,0.047275734551271285,False,9.0
ADBE,BA,11,0.700277802892281,0.01640978964037761,False,8.272727272727273
TMO,PEP,8,0.6999756985309662,0.053235602313301926,False,9.0
AXP,COST,7,0.6944473804356782,0.08338915679772257,False,10.142857142857142
PANW,JPM,10,0.6934395539843671,0.026161895213923748,False,8.3
AMD,MS,7,0.6916049823612063,0.08519708511778945,False,9.142857142857142
CAT,BLK,6,0.6914486487042748,0.12811825296927626,False,7.333333333333333
AVGO,UAL,11,0.6910112160757781,0.018540504806387435,False,7.909090909090909
AAPL,WFC,9,0.6884036036999125,0.040334097468203024,False,7.444444444444445
INTC,NVDA,11,0.6878943568786701,0.01929961609243196,True,9.363636363636363
CRM,INTC,8,0.6874061515507309,0.05957908553705927,True,9.75
MSFT,MA,8,0.6814664214586048,0.06272578263555019,False,9.875
ISRG,CRM,5,0.6805894730642221,0.20600083910186276,False,3.0
AVGO,LLY,11,0.6800752622105711,0.021301271805666853,False,6.7272727272727275
PG,TSLA,8,0.6740631071479566,0.06678311687629167,True,8.5
DAL,NOW,12,0.6717009703372625,0.016748184636180673,False,7.0
AXP,MSFT,11,0.6707533750473066,0.02387564242031589,False,6.7272727272727275
ISRG,JPM,8,0.6692964240471668,0.06947540138071559,False,7.5
V,TSLA,11,0.6638774953301426,0.025910618632193204,False,5.818181818181818
TMO,AMZN,9,0.6607713143403877,0.05267915285166004,False,11.555555555555555
NVDA,AMZN,10,0.6586545275084182,0.03835788402326979,False,6.0
